class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21
A,0.356131971,0.810205221,-1.86E-06,0,0.628709733,0.748673558,-0.086422071,0,0.805714011,0.501274884,-0.083405338,0,0.828126311,0.273821115,-0.07062687,0,0.839416385,0.125584155,-0.037825532,0,0.649849951,0.354920834,-0.026874444,0,0.679763734,0.211360425,-0.116368435,0,0.664954424,0.377798736,-0.133536071,0,0.633803189,0.455599785,-0.126203924,0,0.483202159,0.364673197,-0.015013939,0,0.512120306,0.225836456,-0.118125394,0,0.529217005,0.431848109,-0.118404567,0,0.511037409,0.501211226,-0.088518254,0,0.323673993,0.39481625,-0.022714868,0,0.354228437,0.279823333,-0.159072325,0,0.399034381,0.48853147,-0.113231152,0,0.393085063,0.561968088,-0.043049868,0,0.158762753,0.437648714,-0.033284061,0,0.207808793,0.332829118,-0.126730606,0,0.246779591,0.477816731,-0.087022662,0,0.236896694,0.542792141,-0.032227177,0
A,0.345256269,0.842579722,-1.81E-06,0,0.623420358,0.747034073,-0.061051514,0,0.798633933,0.496098965,-0.048782766,0,0.833360195,0.274549544,-0.037176084,0,0.836917639,0.131430537,-0.005223987,0,0.648362339,0.358725607,0.031805515,0,0.66301167,0.206700027,-0.060586259,0,0.657065928,0.375958681,-0.093068726,0,0.638581693,0.454340369,-0.09441673,0,0.487384379,0.369954437,0.031565495,0,0.504312813,0.228511602,-0.070687033,0,0.529531956,0.429021597,-0.080409542,0,0.512259483,0.492765635,-0.054455571,0,0.328922451,0.397598267,0.010203244,0,0.346057504,0.274484634,-0.118495375,0,0.394772321,0.478574306,-0.072853275,0,0.38772285,0.551173747,-0.001696067,0,0.159547746,0.435890764,-0.013929139,0,0.203456491,0.325626671,-0.094863757,0,0.251280367,0.468817264,-0.048744384,0,0.244771317,0.539710283,0.012080039,0
A,0.344036758,0.850729764,-1.81E-06,0,0.627295554,0.746103168,-0.058588933,0,0.797047377,0.499270469,-0.047622975,0,0.837878466,0.276449025,-0.039627552,0,0.837691188,0.129456729,-0.010541326,0,0.653408587,0.35997501,0.038551088,0,0.668806612,0.206833214,-0.053283419,0,0.659432054,0.378050715,-0.084474444,0,0.636341929,0.447554439,-0.086709149,0,0.491176724,0.372087687,0.034304053,0,0.50723815,0.232932135,-0.067102879,0,0.530963778,0.434513241,-0.075888202,0,0.511796057,0.481921226,-0.052718855,0,0.329994798,0.401615173,0.008542469,0,0.349609941,0.280455351,-0.121539213,0,0.392906964,0.484985769,-0.072413474,0,0.377341181,0.543219686,-0.001367592,0,0.155665368,0.43991673,-0.019761566,0,0.20211789,0.330620766,-0.097485587,0,0.245700538,0.472585201,-0.045343943,0,0.228660017,0.534207404,0.017260093,0
A,0.353697598,0.851407647,-1.73E-06,0,0.628360093,0.739110351,-0.054599665,0,0.787483215,0.494660974,-0.043847639,0,0.834634423,0.27720651,-0.037964322,0,0.836233854,0.130461097,-0.010896938,0,0.654402792,0.354826659,0.048024189,0,0.666056752,0.205623776,-0.045030322,0,0.655370891,0.376094729,-0.079423115,0,0.631511807,0.448533267,-0.082491674,0,0.493923038,0.367412627,0.04196281,0,0.504963219,0.232159197,-0.059105843,0,0.529493332,0.431122273,-0.069651246,0,0.514147282,0.47983095,-0.047520969,0,0.331165403,0.399010509,0.014000507,0,0.347350717,0.280083537,-0.114606224,0,0.392858863,0.481264323,-0.067181356,0,0.381075859,0.539868653,0.002925388,0,0.156510592,0.438991636,-0.0163603,0,0.201233506,0.330288678,-0.090467997,0,0.245094478,0.468923718,-0.037276838,0,0.22993049,0.530329466,0.025880836,0
A,0.347839445,0.856803,-1.70E-06,0,0.627345085,0.734110832,-0.058299072,0,0.788704991,0.495139837,-0.050152704,0,0.83039993,0.279477715,-0.046969809,0,0.829440773,0.129645914,-0.022402022,0,0.649043083,0.36024189,0.052748062,0,0.663839698,0.206311435,-0.044083133,0,0.652742982,0.376101911,-0.083218865,0,0.630061567,0.453631639,-0.088040732,0,0.489934236,0.372448742,0.048462652,0,0.505744398,0.23200798,-0.054752074,0,0.527519703,0.429632843,-0.068222001,0,0.512796283,0.485448062,-0.046500433,0,0.329433978,0.402610242,0.020990681,0,0.3493689,0.27902925,-0.107157588,0,0.391702443,0.478723288,-0.061666448,0,0.382414758,0.543901861,0.008382415,0,0.15699622,0.443200767,-0.009684158,0,0.204788566,0.331896424,-0.083534881,0,0.246289775,0.470185399,-0.03202185,0,0.232717931,0.536567628,0.031035066,0
A,0.351435602,0.861189008,-1.74E-06,0,0.63066709,0.740893722,-0.058204908,0,0.791202009,0.500282347,-0.0505118,0,0.830742002,0.281885087,-0.047682941,0,0.830659091,0.131728292,-0.023551624,0,0.651264906,0.364409536,0.044843823,0,0.667741179,0.206562474,-0.053997058,0,0.657738984,0.378195912,-0.092101164,0,0.632558703,0.455988318,-0.096151128,0,0.490997702,0.376854599,0.039578471,0,0.509319127,0.23361817,-0.064724378,0,0.531533241,0.433194727,-0.076612055,0,0.514770925,0.487502277,-0.054474346,0,0.329825014,0.407387286,0.011585629,0,0.352085024,0.281934261,-0.118578978,0,0.394222468,0.483842015,-0.071035907,0,0.38318038,0.547687411,0.000121413,0,0.155695677,0.447982192,-0.019470867,0,0.204901755,0.335538477,-0.094971292,0,0.246563703,0.474993825,-0.042385049,0,0.231538743,0.540651381,0.02114094,0
A,0.311787665,0.867673576,-1.66E-06,0,0.585193992,0.731992602,-0.063416563,0,0.770428777,0.503159165,-0.064385302,0,0.842266321,0.288789719,-0.070968598,0,0.839342594,0.129346073,-0.05639204,0,0.652629256,0.363876283,0.05100131,0,0.681423068,0.204517514,-0.052424431,0,0.655805349,0.372869492,-0.09945365,0,0.62422663,0.453814685,-0.108286381,0,0.494664133,0.370363384,0.046536982,0,0.521644235,0.226126611,-0.061048508,0,0.526072443,0.424954921,-0.07758037,0,0.506427169,0.488388479,-0.057156015,0,0.33461529,0.395418018,0.017623028,0,0.364291698,0.269908547,-0.108629011,0,0.387921542,0.470891625,-0.062814705,0,0.373009115,0.542758584,0.007479796,0,0.161382735,0.430922776,-0.015789626,0,0.219769835,0.316392154,-0.082560457,0,0.247033045,0.453470409,-0.028073026,0,0.228369921,0.521043003,0.036382657,0
A,0.319666445,0.861150384,-1.63E-06,0,0.592391074,0.736301064,-0.054470148,0,0.770224929,0.504411817,-0.052402638,0,0.841427565,0.291897774,-0.056611039,0,0.849285364,0.134951711,-0.038865607,0,0.654721498,0.356669545,0.046086807,0,0.685344219,0.200090528,-0.056536488,0,0.65131551,0.369823337,-0.097735979,0,0.614144623,0.450950295,-0.1022503,0,0.493508369,0.361922801,0.03674119,0,0.520940423,0.220059797,-0.074591324,0,0.521224439,0.42305246,-0.090644605,0,0.500645041,0.481533796,-0.069489568,0,0.330085039,0.387570828,0.005567587,0,0.359223008,0.265152156,-0.128127828,0,0.384541214,0.473030925,-0.08159297,0,0.37052694,0.541424632,-0.009209743,0,0.155658185,0.423352003,-0.028241647,0,0.211592287,0.312686443,-0.103359655,0,0.245122701,0.456402004,-0.04871317,0,0.230381653,0.522171557,0.017585682,0
A,0.334140658,0.860093713,-1.58E-06,0,0.603215039,0.723304093,-0.055780876,0,0.774507046,0.497181684,-0.054548077,0,0.843821943,0.288778961,-0.060874861,0,0.841004372,0.13044554,-0.044851232,0,0.653562129,0.358160108,0.059647627,0,0.67961669,0.200837523,-0.044411365,0,0.653605103,0.369835138,-0.089976169,0,0.6205917,0.449402332,-0.096740201,0,0.49483186,0.363825291,0.050721891,0,0.521177053,0.222408101,-0.057480302,0,0.52831316,0.421985775,-0.074552178,0,0.509045243,0.477579027,-0.054209739,0,0.332785517,0.389206171,0.017846551,0,0.362193942,0.266143769,-0.112202197,0,0.390588075,0.468519688,-0.066760279,0,0.375436693,0.533994198,0.00447483,0,0.159338087,0.425458223,-0.018429639,0,0.217067957,0.313717365,-0.088978402,0,0.250331104,0.452252567,-0.033266537,0,0.232936159,0.518037915,0.033439547,0
A,0.330033362,0.858936787,-1.63E-06,0,0.608197331,0.727277219,-0.061526783,0,0.784541547,0.499526203,-0.059861131,0,0.844677627,0.286683589,-0.063847594,0,0.842829347,0.129195511,-0.045721669,0,0.651080012,0.359403551,0.053184107,0,0.678880572,0.204880103,-0.049266219,0,0.656921387,0.373156756,-0.092862129,0,0.623090208,0.451588333,-0.09889172,0,0.493345916,0.366423428,0.048209459,0,0.521066368,0.226584822,-0.060133722,0,0.530821621,0.42618975,-0.076505587,0,0.510412693,0.483930826,-0.055483058,0,0.332852185,0.391640931,0.019070512,0,0.364348382,0.269293427,-0.112132356,0,0.394667357,0.471974462,-0.06808953,0,0.379279494,0.540499151,0.002646601,0,0.158597827,0.427789569,-0.013647193,0,0.218781501,0.317133427,-0.086472526,0,0.253566384,0.455965519,-0.034042414,0,0.237027213,0.52335757,0.03058828,0
